syllable_type,lyrics_representation,input_text,phoneme_representation1,phoneme_representation2,phoneme_representation3,phoneme_representation4,phoneme_representation5,SysEX_header,ph1,time1,ph2,time2,ph3,time3,ph4,time4,ph5,time5,eox
ち（無）,チ,,,,CL,ttch,chh,F0 43 1# 5D 03 0* 00,7A,1,18,1,19,0,,,,,F7
ちゅ（無）,チュ,,CL,ttch,chh,hhhy,hhhu,F0 43 1# 5D 03 0* 00,7A,1,18,1,19,2,78,4,75,0,F7
つぃ（無）,ツィ,,,CL,tts,suh,hhhi,F0 43 1# 5D 03 0* 00,7A,1,1A,3,1B,3,74,0,,,F7
つ（無）,ツ,,,CL,tts,suh,hhhu,F0 43 1# 5D 03 0* 00,7A,1,1A,3,1B,3,75,0,,,F7
ひ（無）,ヒ,,,,,,hhi,F0 43 1# 5D 03 0* 00,24,0,,,,,,,,,F7
ふ（無）,フ,,,,,,fhu,F0 43 1# 5D 03 0* 00,2B,0,,,,,,,,,F7
ぴ（無）,ピ,,,,CL,phi,hhhi,F0 43 1# 5D 03 0* 00,7A,1,67,3,74,0,,,,,F7
ぷ（無）,プ,,,,CL,phu,hhhu,F0 43 1# 5D 03 0* 00,7A,1,68,3,75,0,,,,,F7
きゃ（無）,キャ,,,CL,khy,hhhy,hhha,F0 43 1# 5D 03 0* 00,7A,1,B,4,78,5,73,0,,,F7
きゅ（無）,キュ,,,CL,khy,hhhy,hhhu,F0 43 1# 5D 03 0* 00,7A,1,B,4,78,5,75,0,,,F7
ひゃ（無）,ヒャ,,,,hhy,hhhy,hhha,F0 43 1# 5D 03 0* 00,28,0D,78,5,73,0,,,,,F7
ひゅ（無）,ヒュ,,,,hhy,hhhy,hhhu,F0 43 1# 5D 03 0* 00,28,0C,78,5,75,0,,,,,F7
ぴゃ（無）,ピャ,,,CL,phy,hhhy,hhha,F0 43 1# 5D 03 0* 00,7A,1,6B,3,78,6,73,0,,,F7
ぴゅ（無）,ピュ,,,CL,phy,hhhy,hhhu,F0 43 1# 5D 03 0* 00,7A,1,6B,3,78,6,75,0,,,F7
っ,っ,っ,,,,,CL,F0 43 1# 5D 03 0* 00,7A,0,,,,,,,,,F7
